location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Kaufingerstraße, München;2020-03-11 00:00:00 +0100;Wednesday;54462;15;rain;
Kaufingerstraße, München;2020-03-12 00:00:00 +0100;Thursday;50911;15;rain;
Kaufingerstraße, München;2020-03-13 00:00:00 +0100;Friday;47834;10;rain;
Kaufingerstraße, München;2020-03-14 00:00:00 +0100;Saturday;64623;9;cloudy;
Kaufingerstraße, München;2020-03-15 00:00:00 +0100;Sunday;16109;14;clear-day;
Kaufingerstraße, München;2020-03-16 00:00:00 +0100;Monday;34012;17;partly-cloudy-day;
Kaufingerstraße, München;2020-03-17 00:00:00 +0100;Tuesday;23879;15;partly-cloudy-day;
Kaufingerstraße, München;2020-03-18 00:00:00 +0100;Wednesday;13469;17;clear-day;
Kaufingerstraße, München;2020-03-19 00:00:00 +0100;Thursday;10249;18;clear-day;
Kaufingerstraße, München;2020-03-20 00:00:00 +0100;Friday;8438;19;rain;
Kaufingerstraße, München;2020-03-21 00:00:00 +0100;Saturday;1334;10;rain;
Kaufingerstraße, München;2020-03-22 00:00:00 +0100;Sunday;2313;6;rain;
Kaufingerstraße, München;2020-03-23 00:00:00 +0100;Monday;4407;4;clear-day;
Kaufingerstraße, München;2020-03-24 00:00:00 +0100;Tuesday;4304;6;clear-day;
Kaufingerstraße, München;2020-03-25 00:00:00 +0100;Wednesday;4116;6;clear-day;
Kaufingerstraße, München;2020-03-26 00:00:00 +0100;Thursday;4631;11;partly-cloudy-day;
Kaufingerstraße, München;2020-03-27 00:00:00 +0100;Friday;5727;17;clear-day;
Kaufingerstraße, München;2020-03-28 00:00:00 +0100;Saturday;5278;16;clear-day;
Kaufingerstraße, München;2020-03-29 00:00:00 +0100;Sunday;2932;9;rain;
Kaufingerstraße, München;2020-03-30 00:00:00 +0200;Monday;4421;5;rain;
Kaufingerstraße, München;2020-03-31 00:00:00 +0200;Tuesday;5089;6;clear-day;
Kaufingerstraße, München;2020-04-01 00:00:00 +0200;Wednesday;5649;10;clear-day;
Kaufingerstraße, München;2020-04-02 00:00:00 +0200;Thursday;5935;14;clear-day;
Kaufingerstraße, München;2020-04-03 00:00:00 +0200;Friday;5734;13;partly-cloudy-day;
Kaufingerstraße, München;2020-04-04 00:00:00 +0200;Saturday;5381;15;partly-cloudy-day;
Kaufingerstraße, München;2020-04-05 00:00:00 +0200;Sunday;4897;17;clear-day;
Kaufingerstraße, München;2020-04-06 00:00:00 +0200;Monday;6775;21;clear-day;
Kaufingerstraße, München;2020-04-07 00:00:00 +0200;Tuesday;6688;21;clear-day;
Kaufingerstraße, München;2020-04-08 00:00:00 +0200;Wednesday;7100;22;clear-day;
Kaufingerstraße, München;2020-04-09 00:00:00 +0200;Thursday;7141;22;clear-day;
Kaufingerstraße, München;2020-04-10 00:00:00 +0200;Friday;5775;;;
Kaufingerstraße, München;2020-04-11 00:00:00 +0200;Saturday;6543;21;clear-day;
Kaufingerstraße, München;2020-04-12 00:00:00 +0200;Sunday;5602;23;clear-day;
Kaufingerstraße, München;2020-04-13 00:00:00 +0200;Monday;5448;20;rain;
Kaufingerstraße, München;2020-04-14 00:00:00 +0200;Tuesday;5780;8;partly-cloudy-day;
Kaufingerstraße, München;2020-04-15 00:00:00 +0200;Wednesday;6937;17;clear-day;
Kaufingerstraße, München;2020-04-16 00:00:00 +0200;Thursday;7694;22;partly-cloudy-day;
Kaufingerstraße, München;2020-04-17 00:00:00 +0200;Friday;7855;23;partly-cloudy-day;
Kaufingerstraße, München;2020-04-18 00:00:00 +0200;Saturday;7400;22;rain;
