location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Ehrenstraße (Mitte), Köln;2020-03-03 00:00:00 +0100;Tuesday;15405;9;rain;
Ehrenstraße (Mitte), Köln;2020-03-04 00:00:00 +0100;Wednesday;15936;10;rain;
Ehrenstraße (Mitte), Köln;2020-03-05 00:00:00 +0100;Thursday;11535;7;rain;
Ehrenstraße (Mitte), Köln;2020-03-06 00:00:00 +0100;Friday;17606;7;rain;
Ehrenstraße (Mitte), Köln;2020-03-07 00:00:00 +0100;Saturday;35030;10;rain;
Ehrenstraße (Mitte), Köln;2020-03-08 00:00:00 +0100;Sunday;7228;12;rain;
Ehrenstraße (Mitte), Köln;2020-03-09 00:00:00 +0100;Monday;15666;11;rain;
Ehrenstraße (Mitte), Köln;2020-03-10 00:00:00 +0100;Tuesday;12238;13;rain;
Ehrenstraße (Mitte), Köln;2020-03-11 00:00:00 +0100;Wednesday;10984;14;rain;
Ehrenstraße (Mitte), Köln;2020-03-12 00:00:00 +0100;Thursday;16014;13;rain;
Ehrenstraße (Mitte), Köln;2020-03-13 00:00:00 +0100;Friday;16295;11;rain;
Ehrenstraße (Mitte), Köln;2020-03-14 00:00:00 +0100;Saturday;23544;13;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-03-15 00:00:00 +0100;Sunday;6125;15;cloudy;
Ehrenstraße (Mitte), Köln;2020-03-16 00:00:00 +0100;Monday;12419;17;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-03-17 00:00:00 +0100;Tuesday;9638;16;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-03-18 00:00:00 +0100;Wednesday;6942;17;clear-day;
Ehrenstraße (Mitte), Köln;2020-03-19 00:00:00 +0100;Thursday;5450;17;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-03-20 00:00:00 +0100;Friday;4599;13;rain;
Ehrenstraße (Mitte), Köln;2020-03-21 00:00:00 +0100;Saturday;3901;11;rain;
Ehrenstraße (Mitte), Köln;2020-03-22 00:00:00 +0100;Sunday;2845;12;clear-day;
Ehrenstraße (Mitte), Köln;2020-03-23 00:00:00 +0100;Monday;4105;11;clear-day;
Ehrenstraße (Mitte), Köln;2020-03-24 00:00:00 +0100;Tuesday;4668;12;clear-day;
Ehrenstraße (Mitte), Köln;2020-03-25 00:00:00 +0100;Wednesday;4646;13;clear-day;
Ehrenstraße (Mitte), Köln;2020-03-26 00:00:00 +0100;Thursday;4593;12;clear-day;
Ehrenstraße (Mitte), Köln;2020-03-27 00:00:00 +0100;Friday;5233;17;clear-day;
Ehrenstraße (Mitte), Köln;2020-03-28 00:00:00 +0100;Saturday;4838;17;clear-day;
Ehrenstraße (Mitte), Köln;2020-03-29 00:00:00 +0100;Sunday;1940;7;rain;
Ehrenstraße (Mitte), Köln;2020-03-30 00:00:00 +0200;Monday;4499;9;clear-day;
Ehrenstraße (Mitte), Köln;2020-03-31 00:00:00 +0200;Tuesday;5517;11;clear-day;
Ehrenstraße (Mitte), Köln;2020-04-01 00:00:00 +0200;Wednesday;5080;12;clear-day;
Ehrenstraße (Mitte), Köln;2020-04-02 00:00:00 +0200;Thursday;5106;11;clear-day;
Ehrenstraße (Mitte), Köln;2020-04-03 00:00:00 +0200;Friday;5227;12;rain;
Ehrenstraße (Mitte), Köln;2020-04-04 00:00:00 +0200;Saturday;5141;16;clear-day;
Ehrenstraße (Mitte), Köln;2020-04-05 00:00:00 +0200;Sunday;4190;20;clear-day;
Ehrenstraße (Mitte), Köln;2020-04-06 00:00:00 +0200;Monday;5788;24;clear-day;
Ehrenstraße (Mitte), Köln;2020-04-07 00:00:00 +0200;Tuesday;5800;21;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-04-08 00:00:00 +0200;Wednesday;6138;25;clear-day;
Ehrenstraße (Mitte), Köln;2020-04-09 00:00:00 +0200;Thursday;6523;23;clear-day;
Ehrenstraße (Mitte), Köln;2020-04-10 00:00:00 +0200;Friday;4313;;;
Ehrenstraße (Mitte), Köln;2020-04-11 00:00:00 +0200;Saturday;5740;23;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-04-12 00:00:00 +0200;Sunday;4169;24;clear-day;
Ehrenstraße (Mitte), Köln;2020-04-13 00:00:00 +0200;Monday;3577;15;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-04-14 00:00:00 +0200;Tuesday;5451;11;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-04-15 00:00:00 +0200;Wednesday;6072;19;clear-day;
Ehrenstraße (Mitte), Köln;2020-04-16 00:00:00 +0200;Thursday;6579;24;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-04-17 00:00:00 +0200;Friday;6844;23;clear-day;
Ehrenstraße (Mitte), Köln;2020-04-18 00:00:00 +0200;Saturday;5978;18;rain;
Ehrenstraße (Mitte), Köln;2020-04-19 00:00:00 +0200;Sunday;4741;18;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-04-20 00:00:00 +0200;Monday;12002;20;clear-day;
Ehrenstraße (Mitte), Köln;2020-04-21 00:00:00 +0200;Tuesday;10862;22;clear-day;
Ehrenstraße (Mitte), Köln;2020-04-22 00:00:00 +0200;Wednesday;10901;24;clear-day;
Ehrenstraße (Mitte), Köln;2020-04-23 00:00:00 +0200;Thursday;10729;23;clear-day;
Ehrenstraße (Mitte), Köln;2020-04-24 00:00:00 +0200;Friday;11813;21;cloudy;
Ehrenstraße (Mitte), Köln;2020-04-25 00:00:00 +0200;Saturday;14536;17;clear-day;
Ehrenstraße (Mitte), Köln;2020-04-26 00:00:00 +0200;Sunday;5245;20;clear-day;
Ehrenstraße (Mitte), Köln;2020-04-27 00:00:00 +0200;Monday;11444;22;clear-day;
Ehrenstraße (Mitte), Köln;2020-04-28 00:00:00 +0200;Tuesday;9194;18;rain;
Ehrenstraße (Mitte), Köln;2020-04-29 00:00:00 +0200;Wednesday;10218;17;rain;
Ehrenstraße (Mitte), Köln;2020-04-30 00:00:00 +0200;Thursday;10071;15;rain;
Ehrenstraße (Mitte), Köln;2020-05-01 00:00:00 +0200;Friday;4708;16;rain;
Ehrenstraße (Mitte), Köln;2020-05-02 00:00:00 +0200;Saturday;15875;14;rain;
