location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Kurfürstendamm Nordseite (Ost), Berlin;2020-02-25 00:00:00 +0100;Tuesday;12998;9;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-02-26 00:00:00 +0100;Wednesday;10302;5;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-02-27 00:00:00 +0100;Thursday;12836;6;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-02-28 00:00:00 +0100;Friday;14656;8;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-02-29 00:00:00 +0100;Saturday;18169;11;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-01 00:00:00 +0100;Sunday;7146;10;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-02 00:00:00 +0100;Monday;11532;9;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-03 00:00:00 +0100;Tuesday;9615;7;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-04 00:00:00 +0100;Wednesday;10095;9;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-05 00:00:00 +0100;Thursday;11360;11;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-06 00:00:00 +0100;Friday;9042;8;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-07 00:00:00 +0100;Saturday;14535;7;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-08 00:00:00 +0100;Sunday;6376;11;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-09 00:00:00 +0100;Monday;10129;11;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-10 00:00:00 +0100;Tuesday;6525;11;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-11 00:00:00 +0100;Wednesday;11186;13;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-12 00:00:00 +0100;Thursday;9583;12;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-13 00:00:00 +0100;Friday;9105;9;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-14 00:00:00 +0100;Saturday;12555;9;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-15 00:00:00 +0100;Sunday;4842;13;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-16 00:00:00 +0100;Monday;7289;17;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-17 00:00:00 +0100;Tuesday;5522;15;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-18 00:00:00 +0100;Wednesday;4430;18;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-19 00:00:00 +0100;Thursday;3362;14;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-20 00:00:00 +0100;Friday;2819;11;cloudy;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-21 00:00:00 +0100;Saturday;2272;8;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-22 00:00:00 +0100;Sunday;2760;7;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-23 00:00:00 +0100;Monday;2962;8;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-24 00:00:00 +0100;Tuesday;2984;9;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-25 00:00:00 +0100;Wednesday;3111;11;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-26 00:00:00 +0100;Thursday;3105;12;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-27 00:00:00 +0100;Friday;3020;18;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-28 00:00:00 +0100;Saturday;2919;16;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-29 00:00:00 +0100;Sunday;1160;6;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-30 00:00:00 +0200;Monday;2119;5;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-03-31 00:00:00 +0200;Tuesday;2677;6;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-01 00:00:00 +0200;Wednesday;3223;10;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-02 00:00:00 +0200;Thursday;2855;11;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-03 00:00:00 +0200;Friday;2855;11;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-04 00:00:00 +0200;Saturday;3061;13;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-05 00:00:00 +0200;Sunday;3298;18;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-06 00:00:00 +0200;Monday;3560;22;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-07 00:00:00 +0200;Tuesday;3176;21;clear-day;
