location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Planken (Ost), Mannheim;2020-03-08 00:00:00 +0100;Sunday;6861;12;cloudy;
Planken (Ost), Mannheim;2020-03-09 00:00:00 +0100;Monday;15334;11;rain;
Planken (Ost), Mannheim;2020-03-10 00:00:00 +0100;Tuesday;9554;12;rain;
Planken (Ost), Mannheim;2020-03-11 00:00:00 +0100;Wednesday;14662;16;rain;
Planken (Ost), Mannheim;2020-03-12 00:00:00 +0100;Thursday;13148;15;cloudy;
Planken (Ost), Mannheim;2020-03-13 00:00:00 +0100;Friday;15867;11;partly-cloudy-day;
Planken (Ost), Mannheim;2020-03-14 00:00:00 +0100;Saturday;20653;12;partly-cloudy-day;
Planken (Ost), Mannheim;2020-03-15 00:00:00 +0100;Sunday;6400;16;partly-cloudy-day;
Planken (Ost), Mannheim;2020-03-16 00:00:00 +0100;Monday;13836;19;partly-cloudy-day;
Planken (Ost), Mannheim;2020-03-17 00:00:00 +0100;Tuesday;10696;17;partly-cloudy-day;
Planken (Ost), Mannheim;2020-03-18 00:00:00 +0100;Wednesday;7193;19;clear-day;
Planken (Ost), Mannheim;2020-03-19 00:00:00 +0100;Thursday;6246;20;clear-day;
Planken (Ost), Mannheim;2020-03-20 00:00:00 +0100;Friday;4722;18;partly-cloudy-day;
Planken (Ost), Mannheim;2020-03-21 00:00:00 +0100;Saturday;1716;10;rain;
Planken (Ost), Mannheim;2020-03-22 00:00:00 +0100;Sunday;1938;10;clear-day;
Planken (Ost), Mannheim;2020-03-23 00:00:00 +0100;Monday;4417;10;clear-day;
Planken (Ost), Mannheim;2020-03-24 00:00:00 +0100;Tuesday;4464;11;clear-day;
Planken (Ost), Mannheim;2020-03-25 00:00:00 +0100;Wednesday;4504;12;clear-day;
Planken (Ost), Mannheim;2020-03-26 00:00:00 +0100;Thursday;4144;13;clear-day;
Planken (Ost), Mannheim;2020-03-27 00:00:00 +0100;Friday;4383;18;clear-day;
Planken (Ost), Mannheim;2020-03-28 00:00:00 +0100;Saturday;3846;20;clear-day;
Planken (Ost), Mannheim;2020-03-29 00:00:00 +0100;Sunday;1466;10;partly-cloudy-day;
Planken (Ost), Mannheim;2020-03-30 00:00:00 +0200;Monday;4755;10;clear-day;
Planken (Ost), Mannheim;2020-03-31 00:00:00 +0200;Tuesday;4770;10;partly-cloudy-day;
Planken (Ost), Mannheim;2020-04-01 00:00:00 +0200;Wednesday;4673;12;clear-day;
Planken (Ost), Mannheim;2020-04-02 00:00:00 +0200;Thursday;5028;16;clear-day;
Planken (Ost), Mannheim;2020-04-03 00:00:00 +0200;Friday;3968;14;partly-cloudy-day;
Planken (Ost), Mannheim;2020-04-04 00:00:00 +0200;Saturday;4344;17;clear-day;
Planken (Ost), Mannheim;2020-04-05 00:00:00 +0200;Sunday;2611;20;clear-day;
Planken (Ost), Mannheim;2020-04-06 00:00:00 +0200;Monday;4917;24;clear-day;
Planken (Ost), Mannheim;2020-04-07 00:00:00 +0200;Tuesday;4616;25;clear-day;
Planken (Ost), Mannheim;2020-04-08 00:00:00 +0200;Wednesday;4085;25;clear-day;
Planken (Ost), Mannheim;2020-04-09 00:00:00 +0200;Thursday;4628;26;clear-day;
