location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Große Bleichen, Hamburg;2020-03-09 00:00:00 +0100;Monday;12326;10;rain;
Große Bleichen, Hamburg;2020-03-10 00:00:00 +0100;Tuesday;8995;11;rain;
Große Bleichen, Hamburg;2020-03-11 00:00:00 +0100;Wednesday;13852;12;rain;
Große Bleichen, Hamburg;2020-03-12 00:00:00 +0100;Thursday;10594;11;rain;
Große Bleichen, Hamburg;2020-03-13 00:00:00 +0100;Friday;8985;8;rain;
Große Bleichen, Hamburg;2020-03-14 00:00:00 +0100;Saturday;10987;9;clear-day;
Große Bleichen, Hamburg;2020-03-15 00:00:00 +0100;Sunday;2739;13;cloudy;
Große Bleichen, Hamburg;2020-03-16 00:00:00 +0100;Monday;7955;13;partly-cloudy-day;
Große Bleichen, Hamburg;2020-03-17 00:00:00 +0100;Tuesday;5135;13;partly-cloudy-day;
Große Bleichen, Hamburg;2020-03-18 00:00:00 +0100;Wednesday;4125;14;cloudy;
Große Bleichen, Hamburg;2020-03-19 00:00:00 +0100;Thursday;4002;12;partly-cloudy-day;
Große Bleichen, Hamburg;2020-03-20 00:00:00 +0100;Friday;3144;11;partly-cloudy-day;
Große Bleichen, Hamburg;2020-03-21 00:00:00 +0100;Saturday;1491;8;clear-day;
Große Bleichen, Hamburg;2020-03-22 00:00:00 +0100;Sunday;1158;8;clear-day;
Große Bleichen, Hamburg;2020-03-23 00:00:00 +0100;Monday;2608;9;clear-day;
Große Bleichen, Hamburg;2020-03-24 00:00:00 +0100;Tuesday;2898;10;partly-cloudy-day;
Große Bleichen, Hamburg;2020-03-25 00:00:00 +0100;Wednesday;2886;12;partly-cloudy-day;
Große Bleichen, Hamburg;2020-03-26 00:00:00 +0100;Thursday;2864;11;clear-day;
Große Bleichen, Hamburg;2020-03-27 00:00:00 +0100;Friday;2951;16;clear-day;
Große Bleichen, Hamburg;2020-03-28 00:00:00 +0100;Saturday;1778;14;clear-day;
Große Bleichen, Hamburg;2020-03-29 00:00:00 +0100;Sunday;1057;6;rain;
Große Bleichen, Hamburg;2020-03-30 00:00:00 +0200;Monday;2602;8;rain;
Große Bleichen, Hamburg;2020-03-31 00:00:00 +0200;Tuesday;2949;8;clear-day;
Große Bleichen, Hamburg;2020-04-01 00:00:00 +0200;Wednesday;3035;9;partly-cloudy-day;
Große Bleichen, Hamburg;2020-04-02 00:00:00 +0200;Thursday;3163;11;partly-cloudy-day;
Große Bleichen, Hamburg;2020-04-03 00:00:00 +0200;Friday;2620;9;rain;
Große Bleichen, Hamburg;2020-04-04 00:00:00 +0200;Saturday;1749;13;clear-day;
Große Bleichen, Hamburg;2020-04-05 00:00:00 +0200;Sunday;1798;18;clear-day;
Große Bleichen, Hamburg;2020-04-06 00:00:00 +0200;Monday;3589;22;clear-day;
Große Bleichen, Hamburg;2020-04-07 00:00:00 +0200;Tuesday;3620;19;partly-cloudy-day;
Große Bleichen, Hamburg;2020-04-08 00:00:00 +0200;Wednesday;3752;23;partly-cloudy-day;
Große Bleichen, Hamburg;2020-04-09 00:00:00 +0200;Thursday;3286;17;clear-day;
Große Bleichen, Hamburg;2020-04-10 00:00:00 +0200;Friday;1679;;;
Große Bleichen, Hamburg;2020-04-11 00:00:00 +0200;Saturday;1957;19;partly-cloudy-day;
Große Bleichen, Hamburg;2020-04-12 00:00:00 +0200;Sunday;1599;22;partly-cloudy-day;
Große Bleichen, Hamburg;2020-04-13 00:00:00 +0200;Monday;1621;11;partly-cloudy-day;
Große Bleichen, Hamburg;2020-04-14 00:00:00 +0200;Tuesday;3565;10;partly-cloudy-day;
Große Bleichen, Hamburg;2020-04-15 00:00:00 +0200;Wednesday;3743;16;partly-cloudy-day;
Große Bleichen, Hamburg;2020-04-16 00:00:00 +0200;Thursday;4363;17;partly-cloudy-day;
Große Bleichen, Hamburg;2020-04-17 00:00:00 +0200;Friday;3688;16;partly-cloudy-day;
Große Bleichen, Hamburg;2020-04-18 00:00:00 +0200;Saturday;2390;17;clear-day;
Große Bleichen, Hamburg;2020-04-19 00:00:00 +0200;Sunday;1858;15;clear-day;
Große Bleichen, Hamburg;2020-04-20 00:00:00 +0200;Monday;5956;17;clear-day;
Große Bleichen, Hamburg;2020-04-21 00:00:00 +0200;Tuesday;5325;18;clear-day;
Große Bleichen, Hamburg;2020-04-22 00:00:00 +0200;Wednesday;5688;19;clear-day;
Große Bleichen, Hamburg;2020-04-23 00:00:00 +0200;Thursday;6207;22;clear-day;
Große Bleichen, Hamburg;2020-04-24 00:00:00 +0200;Friday;5597;19;partly-cloudy-day;
Große Bleichen, Hamburg;2020-04-25 00:00:00 +0200;Saturday;5504;16;partly-cloudy-day;
Große Bleichen, Hamburg;2020-04-26 00:00:00 +0200;Sunday;2067;14;partly-cloudy-day;
Große Bleichen, Hamburg;2020-04-27 00:00:00 +0200;Monday;6848;21;clear-day;
Große Bleichen, Hamburg;2020-04-28 00:00:00 +0200;Tuesday;5892;18;rain;
Große Bleichen, Hamburg;2020-04-29 00:00:00 +0200;Wednesday;5498;15;rain;
Große Bleichen, Hamburg;2020-04-30 00:00:00 +0200;Thursday;6017;15;rain;
Große Bleichen, Hamburg;2020-05-01 00:00:00 +0200;Friday;1631;15;rain;
Große Bleichen, Hamburg;2020-05-02 00:00:00 +0200;Saturday;7477;13;rain;
Große Bleichen, Hamburg;2020-05-03 00:00:00 +0200;Sunday;2138;15;rain;
Große Bleichen, Hamburg;2020-05-04 00:00:00 +0200;Monday;7410;14;partly-cloudy-day;
Große Bleichen, Hamburg;2020-05-05 00:00:00 +0200;Tuesday;7276;14;clear-day;
Große Bleichen, Hamburg;2020-05-06 00:00:00 +0200;Wednesday;7567;15;clear-day;
Große Bleichen, Hamburg;2020-05-07 00:00:00 +0200;Thursday;7677;16;partly-cloudy-day;
Große Bleichen, Hamburg;2020-05-08 00:00:00 +0200;Friday;8164;20;partly-cloudy-day;
Große Bleichen, Hamburg;2020-05-09 00:00:00 +0200;Saturday;8567;23;partly-cloudy-day;
Große Bleichen, Hamburg;2020-05-10 00:00:00 +0200;Sunday;1926;24;rain;
Große Bleichen, Hamburg;2020-05-11 00:00:00 +0200;Monday;6861;12;partly-cloudy-day;
Große Bleichen, Hamburg;2020-05-12 00:00:00 +0200;Tuesday;6295;11;rain;
Große Bleichen, Hamburg;2020-05-13 00:00:00 +0200;Wednesday;7213;11;rain;
Große Bleichen, Hamburg;2020-05-14 00:00:00 +0200;Thursday;8310;12;partly-cloudy-day;
Große Bleichen, Hamburg;2020-05-15 00:00:00 +0200;Friday;8538;13;partly-cloudy-day;
Große Bleichen, Hamburg;2020-05-16 00:00:00 +0200;Saturday;10323;16;partly-cloudy-day;
Große Bleichen, Hamburg;2020-05-17 00:00:00 +0200;Sunday;2342;18;partly-cloudy-day;
Große Bleichen, Hamburg;2020-05-18 00:00:00 +0200;Monday;9415;19;cloudy;
Große Bleichen, Hamburg;2020-05-19 00:00:00 +0200;Tuesday;10114;19;partly-cloudy-day;
Große Bleichen, Hamburg;2020-05-20 00:00:00 +0200;Wednesday;9728;21;partly-cloudy-day;
Große Bleichen, Hamburg;2020-05-21 00:00:00 +0200;Thursday;3131;22;partly-cloudy-day;
Große Bleichen, Hamburg;2020-05-22 00:00:00 +0200;Friday;10566;23;rain;
Große Bleichen, Hamburg;2020-05-23 00:00:00 +0200;Saturday;11732;17;rain;
Große Bleichen, Hamburg;2020-05-24 00:00:00 +0200;Sunday;2302;16;rain;
Große Bleichen, Hamburg;2020-05-25 00:00:00 +0200;Monday;9125;16;partly-cloudy-day;
Große Bleichen, Hamburg;2020-05-26 00:00:00 +0200;Tuesday;10157;19;partly-cloudy-day;
Große Bleichen, Hamburg;2020-05-27 00:00:00 +0200;Wednesday;10521;20;partly-cloudy-day;
Große Bleichen, Hamburg;2020-05-28 00:00:00 +0200;Thursday;10657;20;clear-day;
Große Bleichen, Hamburg;2020-05-29 00:00:00 +0200;Friday;11244;22;clear-day;
Große Bleichen, Hamburg;2020-05-30 00:00:00 +0200;Saturday;77;21;clear-day;
Große Bleichen, Hamburg;2020-05-30 00:00:00 +0200;Saturday;14793;;;
Große Bleichen, Hamburg;2020-05-31 00:00:00 +0200;Sunday;4011;20;cloudy;
Große Bleichen, Hamburg;2020-06-01 00:00:00 +0200;Monday;3539;23;clear-day;
Große Bleichen, Hamburg;2020-06-02 00:00:00 +0200;Tuesday;11164;26;partly-cloudy-day;
Große Bleichen, Hamburg;2020-06-03 00:00:00 +0200;Wednesday;10283;25;rain;
Große Bleichen, Hamburg;2020-06-04 00:00:00 +0200;Thursday;8597;18;rain;
Große Bleichen, Hamburg;2020-06-05 00:00:00 +0200;Friday;11487;18;rain;
Große Bleichen, Hamburg;2020-06-06 00:00:00 +0200;Saturday;14821;16;rain;
Große Bleichen, Hamburg;2020-06-07 00:00:00 +0200;Sunday;3007;17;rain;
Große Bleichen, Hamburg;2020-06-08 00:00:00 +0200;Monday;11186;18;rain;
Große Bleichen, Hamburg;2020-06-09 00:00:00 +0200;Tuesday;11653;19;rain;
Große Bleichen, Hamburg;2020-06-10 00:00:00 +0200;Wednesday;11504;21;partly-cloudy-day;
Große Bleichen, Hamburg;2020-06-11 00:00:00 +0200;Thursday;11959;18;rain;
Große Bleichen, Hamburg;2020-06-12 00:00:00 +0200;Friday;14701;25;partly-cloudy-day;
Große Bleichen, Hamburg;2020-06-13 00:00:00 +0200;Saturday;13832;25;rain;
Große Bleichen, Hamburg;2020-06-14 00:00:00 +0200;Sunday;3189;22;rain;
Große Bleichen, Hamburg;2020-06-15 00:00:00 +0200;Monday;11496;25;clear-day;
Große Bleichen, Hamburg;2020-06-16 00:00:00 +0200;Tuesday;11464;25;clear-day;
Große Bleichen, Hamburg;2020-06-17 00:00:00 +0200;Wednesday;11278;27;partly-cloudy-day;
Große Bleichen, Hamburg;2020-06-18 00:00:00 +0200;Thursday;11136;26;rain;
Große Bleichen, Hamburg;2020-06-19 00:00:00 +0200;Friday;12529;20;rain;
Große Bleichen, Hamburg;2020-06-20 00:00:00 +0200;Saturday;15002;22;cloudy;
Große Bleichen, Hamburg;2020-06-21 00:00:00 +0200;Sunday;3455;24;partly-cloudy-day;
Große Bleichen, Hamburg;2020-06-22 00:00:00 +0200;Monday;11476;23;clear-day;
Große Bleichen, Hamburg;2020-06-23 00:00:00 +0200;Tuesday;12025;26;clear-day;
Große Bleichen, Hamburg;2020-06-24 00:00:00 +0200;Wednesday;10909;27;clear-day;
Große Bleichen, Hamburg;2020-06-25 00:00:00 +0200;Thursday;11208;28;clear-day;
Große Bleichen, Hamburg;2020-06-26 00:00:00 +0200;Friday;11858;30;clear-day;
Große Bleichen, Hamburg;2020-06-27 00:00:00 +0200;Saturday;12494;30;rain;
Große Bleichen, Hamburg;2020-06-28 00:00:00 +0200;Sunday;3335;21;rain;
Große Bleichen, Hamburg;2020-06-29 00:00:00 +0200;Monday;12469;22;rain;
Große Bleichen, Hamburg;2020-06-30 00:00:00 +0200;Tuesday;12013;19;rain;
Große Bleichen, Hamburg;2020-07-01 00:00:00 +0200;Wednesday;11342;21;rain;
Große Bleichen, Hamburg;2020-07-02 00:00:00 +0200;Thursday;10339;20;rain;
Große Bleichen, Hamburg;2020-07-03 00:00:00 +0200;Friday;13667;22;rain;
Große Bleichen, Hamburg;2020-07-04 00:00:00 +0200;Saturday;15834;18;rain;
Große Bleichen, Hamburg;2020-07-05 00:00:00 +0200;Sunday;3486;21;rain;
Große Bleichen, Hamburg;2020-07-06 00:00:00 +0200;Monday;11897;17;rain;
Große Bleichen, Hamburg;2020-07-07 00:00:00 +0200;Tuesday;12184;18;rain;
Große Bleichen, Hamburg;2020-07-08 00:00:00 +0200;Wednesday;13242;18;rain;
Große Bleichen, Hamburg;2020-07-09 00:00:00 +0200;Thursday;8020;15;rain;
Große Bleichen, Hamburg;2020-07-10 00:00:00 +0200;Friday;11674;16;rain;
